1 1 0.0 1.262 0
1 2 0.01 1.251 0
1 3 0.02 1.241 0
1 4 0.03 1.231 0
1 5 0.04 1.221 0
1 6 0.05 1.211 0
1 7 0.06 1.201 0
1 8 0.07 1.191 0
1 9 0.08 1.182 0
1 10 0.09 1.172 0
1 11 0.1 1.162 0
1 12 0.11 1.152 0
1 13 0.12 1.142 0
1 14 0.13 1.132 0
1 15 0.14 1.122 0
1 16 0.15 1.113 0
1 17 0.16 1.103 0
1 18 0.17 1.093 0
1 19 0.18 1.084 0
1 20 0.19 1.074 0
1 21 0.2 1.065 0
1 22 0.21 1.055 0
1 23 0.22 1.045 0
1 24 0.23 1.036 0
1 25 0.24 1.027 0
1 26 0.25 1.017 0
1 27 0.26 1.008 0
1 28 0.27 0.998 0
1 29 0.28 0.989 0
1 30 0.29 0.98 0
1 31 0.3 0.971 0
1 32 0.31 0.962 0
1 33 0.32 0.952 0
1 34 0.33 0.943 0
1 35 0.34 0.934 0
1 36 0.35 0.925 0
1 37 0.36 0.916 0
1 38 0.37 0.908 0
1 39 0.38 0.899 0
1 40 0.39 0.89 0
1 41 0.4 0.881 0
1 42 0.41 0.873 0
1 43 0.42 0.864 0
1 44 0.43 0.856 0
1 45 0.44 0.847 0
1 46 0.45 0.839 0
1 47 0.46 0.83 0
1 48 0.47 0.822 0
1 49 0.48 0.814 0
1 50 0.49 0.806 0
1 51 0.5 0.798 0
1 52 0.51 0.79 0
1 53 0.52 0.782 0
1 54 0.53 0.774 0
1 55 0.54 0.767 0
1 56 0.55 0.759 0
1 57 0.56 0.752 0
1 58 0.57 0.744 0
1 59 0.58 0.737 0
1 60 0.59 0.73 0
1 61 0.6 0.723 0
1 62 0.61 0.716 0
1 63 0.62 0.709 0
1 64 0.63 0.702 0
1 65 0.64 0.695 0
1 66 0.65 0.689 0
1 67 0.66 0.682 0
1 68 0.67 0.676 0
1 69 0.68 0.67 0
1 70 0.69 0.664 0
1 71 0.7 0.658 0
1 72 0.71 0.652 0
1 73 0.72 0.647 0
1 74 0.73 0.641 0
1 75 0.74 0.636 0
1 76 0.75 0.631 0
1 77 0.76 0.626 0
1 78 0.77 0.621 0
1 79 0.78 0.616 0
1 80 0.79 0.612 0
1 81 0.8 0.608 0
1 82 0.81 0.604 0
1 83 0.82 0.6 0
1 84 0.83 0.596 0
1 85 0.84 0.592 0
1 86 0.85 0.589 0
1 87 0.86 0.586 0
1 88 0.87 0.583 0
1 89 0.88 0.58 0
1 90 0.89 0.578 0
1 91 0.9 0.575 0
1 92 0.91 0.573 0
1 93 0.92 0.571 0
1 94 0.93 0.57 0
1 95 0.94 0.568 0
1 96 0.95 0.567 0
1 97 0.96 0.566 0
1 98 0.97 0.565 0
1 99 0.98 0.565 0
1 100 0.99 0.564 0
1 101 1.0 0.564 0
1 102 1.01 0.564 0
1 103 1.02 0.564 0
1 104 1.03 0.564 0
1 105 1.04 0.565 0
1 106 1.05 0.565 0
1 107 1.06 0.565 0
1 108 1.07 0.566 0
1 109 1.08 0.566 0
1 110 1.09 0.566 0
1 111 1.1 0.567 0
1 112 1.11 0.568 0
1 113 1.12 0.568 0
1 114 1.13 0.569 0
1 115 1.14 0.57 0
1 116 1.15 0.571 0
1 117 1.16 0.571 0
1 118 1.17 0.572 0
1 119 1.18 0.573 0
1 120 1.19 0.574 0
1 121 1.2 0.575 0
1 122 1.21 0.576 0
1 123 1.22 0.578 0
1 124 1.23 0.579 0
1 125 1.24 0.58 0
1 126 1.25 0.582 0
1 127 1.26 0.583 0
1 128 1.27 0.584 0
1 129 1.28 0.586 0
1 130 1.29 0.587 0
1 131 1.3 0.589 0
1 132 1.31 0.591 0
1 133 1.32 0.592 0
1 134 1.33 0.594 0
1 135 1.34 0.596 0
1 136 1.35 0.598 0
1 137 1.36 0.6 0
1 138 1.37 0.602 0
1 139 1.38 0.604 0
1 140 1.39 0.606 0
1 141 1.4 0.608 0
1 142 1.41 0.61 0
1 143 1.42 0.612 0
1 144 1.43 0.614 0
1 145 1.44 0.616 0
1 146 1.45 0.619 0
1 147 1.46 0.621 0
1 148 1.47 0.623 0
1 149 1.48 0.626 0
1 150 1.49 0.628 0
1 151 1.5 0.631 0
1 152 1.51 0.633 0
1 153 1.52 0.636 0
1 154 1.53 0.639 0
1 155 1.54 0.641 0
1 156 1.55 0.644 0
1 157 1.56 0.647 0
1 158 1.57 0.649 0
1 159 1.58 0.652 0
1 160 1.59 0.655 0
1 161 1.6 0.658 0
1 162 1.61 0.661 0
1 163 1.62 0.664 0
1 164 1.63 0.667 0
1 165 1.64 0.67 0
1 166 1.65 0.673 0
1 167 1.66 0.676 0
1 168 1.67 0.679 0
1 169 1.68 0.682 0
1 170 1.69 0.685 0
1 171 1.7 0.689 0
1 172 1.71 0.692 0
1 173 1.72 0.695 0
1 174 1.73 0.699 0
1 175 1.74 0.702 0
1 176 1.75 0.705 0
1 177 1.76 0.709 0
1 178 1.77 0.712 0
1 179 1.78 0.716 0
1 180 1.79 0.719 0
1 181 1.8 0.723 0
1 182 1.81 0.726 0
1 183 1.82 0.73 0
1 184 1.83 0.733 0
1 185 1.84 0.737 0
1 186 1.85 0.74 0
1 187 1.86 0.744 0
1 188 1.87 0.748 0
1 189 1.88 0.752 0
1 190 1.89 0.755 0
1 191 1.9 0.759 0
1 192 1.91 0.763 0
1 193 1.92 0.767 0
1 194 1.93 0.77 0
1 195 1.94 0.774 0
1 196 1.95 0.778 0
1 197 1.96 0.782 0
1 198 1.97 0.786 0
1 199 1.98 0.79 0
1 200 1.99 0.794 0
