X, A, rho, T, V, p, mDot, M
0.85, 1.09, 0.794,0.912, 0.674, 0.724,0.584, 0.706
0.86, 1.078, 0.785,0.908, 0.689, 0.713,0.584, 0.723
0.87, 1.068, 0.776,0.904, 0.704, 0.701,0.584, 0.741
0.88, 1.058, 0.767,0.899, 0.72, 0.689,0.584, 0.759
0.89, 1.048, 0.757,0.895, 0.735, 0.677,0.584, 0.777
0.9, 1.04, 0.747,0.89, 0.751, 0.665,0.584, 0.796
0.91, 1.032, 0.737,0.885, 0.767, 0.653,0.584, 0.815
0.92, 1.026, 0.727,0.88, 0.783, 0.64,0.584, 0.834
0.93, 1.02, 0.717,0.875, 0.799, 0.627,0.584, 0.854
0.94, 1.014, 0.706,0.87, 0.815, 0.614,0.584, 0.874
0.95, 1.01, 0.695,0.865, 0.831, 0.601,0.584, 0.894
0.96, 1.006, 0.684,0.859, 0.848, 0.588,0.584, 0.915
0.97, 1.004, 0.673,0.853, 0.864, 0.574,0.584, 0.936
0.98, 1.002, 0.662,0.848, 0.881, 0.561,0.584, 0.957
0.99, 1.0, 0.65,0.842, 0.897, 0.547,0.584, 0.978
1.0, 1.0, 0.64,0.837, 0.911, 0.536,0.584, 0.996
1.01, 1.0, 0.633,0.833, 0.923, 0.527,0.584, 1.011
1.02, 1.0, 0.627,0.829, 0.931, 0.52,0.584, 1.022
1.03, 1.001, 0.621,0.826, 0.939, 0.513,0.584, 1.033
1.04, 1.002, 0.615,0.823, 0.948, 0.506,0.584, 1.044
1.05, 1.003, 0.609,0.82, 0.956, 0.499,0.584, 1.056
1.06, 1.004, 0.603,0.817, 0.964, 0.493,0.584, 1.067
1.07, 1.005, 0.597,0.814, 0.973, 0.486,0.584, 1.078
1.08, 1.006, 0.591,0.81, 0.981, 0.479,0.584, 1.09
1.09, 1.008, 0.585,0.807, 0.989, 0.472,0.584, 1.101
1.1, 1.01, 0.579,0.804, 0.998, 0.466,0.584, 1.113
1.11, 1.012, 0.573,0.8, 1.006, 0.459,0.584, 1.124
1.12, 1.014, 0.567,0.797, 1.014, 0.452,0.584, 1.136
1.13, 1.017, 0.561,0.794, 1.022, 0.446,0.584, 1.148
1.14, 1.02, 0.555,0.79, 1.031, 0.439,0.584, 1.159
1.15, 1.023, 0.549,0.787, 1.039, 0.432,0.584, 1.171
1.16, 1.026, 0.544,0.783, 1.047, 0.426,0.584, 1.183
1.17, 1.029, 0.538,0.78, 1.055, 0.419,0.584, 1.195
1.18, 1.032, 0.532,0.777, 1.063, 0.413,0.584, 1.207
1.19, 1.036, 0.526,0.773, 1.071, 0.406,0.584, 1.219
1.2, 1.04, 0.52,0.77, 1.079, 0.4,0.584, 1.23
1.21, 1.044, 0.514,0.766, 1.088, 0.394,0.584, 1.243
1.22, 1.048, 0.508,0.763, 1.096, 0.388,0.584, 1.254
1.23, 1.053, 0.502,0.759, 1.104, 0.381,0.584, 1.267
1.24, 1.058, 0.496,0.756, 1.112, 0.375,0.584, 1.279
1.25, 1.062, 0.491,0.752, 1.119, 0.369,0.584, 1.291
1.26, 1.068, 0.485,0.749, 1.127, 0.363,0.584, 1.303
1.27, 1.073, 0.479,0.745, 1.135, 0.357,0.584, 1.315
1.28, 1.078, 0.474,0.741, 1.143, 0.351,0.584, 1.327
1.29, 1.084, 0.468,0.738, 1.151, 0.345,0.584, 1.34
1.3, 1.09, 0.462,0.734, 1.158, 0.339,0.584, 1.352
1.31, 1.096, 0.457,0.731, 1.166, 0.334,0.584, 1.364
1.32, 1.102, 0.451,0.727, 1.174, 0.328,0.584, 1.376
1.33, 1.109, 0.445,0.724, 1.181, 0.322,0.584, 1.389
1.34, 1.116, 0.44,0.72, 1.189, 0.317,0.584, 1.401
1.35, 1.122, 0.435,0.716, 1.197, 0.311,0.584, 1.414
1.36, 1.13, 0.429,0.713, 1.204, 0.306,0.584, 1.426
1.37, 1.137, 0.424,0.709, 1.211, 0.301,0.584, 1.438
1.38, 1.144, 0.419,0.706, 1.219, 0.295,0.584, 1.45
1.39, 1.152, 0.413,0.702, 1.226, 0.29,0.584, 1.463
1.4, 1.16, 0.408,0.699, 1.233, 0.285,0.584, 1.475
1.41, 1.168, 0.403,0.695, 1.241, 0.28,0.584, 1.488
1.42, 1.176, 0.398,0.692, 1.247, 0.275,0.584, 1.5
1.43, 1.185, 0.392,0.688, 1.255, 0.27,0.584, 1.513
1.44, 1.194, 0.388,0.684, 1.261, 0.265,0.584, 1.524
1.45, 1.202, 0.382,0.681, 1.269, 0.26,0.583, 1.539
1.46, 1.212, 0.378,0.678, 1.275, 0.256,0.584, 1.549
1.47, 1.221, 0.372,0.673, 1.283, 0.251,0.583, 1.564
1.48, 1.23, 0.368,0.671, 1.288, 0.247,0.584, 1.573
1.49, 1.24, 0.363,0.666, 1.298, 0.242,0.583, 1.59
1.5, 1.25, 0.359,0.664, 1.301, 0.238,0.584, 1.596
1.51, 1.26, 0.353,0.658, 1.312, 0.232,0.584, 1.617
1.52, 1.27, 0.35,0.659, 1.313, 0.23,0.583, 1.617
1.53, 1.281, 0.339,0.638, 1.345, 0.216,0.585, 1.685
1.54, 1.292, 0.464,0.761, 1.045, 0.353,0.626, 1.198
1.55, 1.302, 0.686,0.902, 0.675, 0.619,0.603, 0.71
1.56, 1.314, 0.726,0.921, 0.619, 0.669,0.59, 0.645
1.57, 1.325, 0.71,0.914, 0.635, 0.649,0.598, 0.665
1.58, 1.336, 0.729,0.923, 0.608, 0.673,0.592, 0.633
1.59, 1.348, 0.723,0.921, 0.612, 0.666,0.596, 0.638
1.6, 1.36, 0.735,0.926, 0.594, 0.68,0.593, 0.617
1.61, 1.372, 0.733,0.926, 0.592, 0.679,0.596, 0.616
1.62, 1.384, 0.741,0.929, 0.579, 0.689,0.594, 0.6
1.63, 1.397, 0.742,0.93, 0.575, 0.69,0.595, 0.596
1.64, 1.41, 0.748,0.933, 0.564, 0.697,0.594, 0.583
1.65, 1.422, 0.749,0.934, 0.558, 0.7,0.595, 0.578
1.66, 1.436, 0.754,0.936, 0.549, 0.706,0.594, 0.567
1.67, 1.449, 0.756,0.937, 0.543, 0.709,0.595, 0.561
1.68, 1.462, 0.76,0.939, 0.535, 0.714,0.594, 0.552
1.69, 1.476, 0.763,0.94, 0.528, 0.717,0.595, 0.545
1.7, 1.49, 0.766,0.942, 0.521, 0.722,0.594, 0.537
1.71, 1.504, 0.769,0.943, 0.514, 0.725,0.595, 0.53
1.72, 1.518, 0.772,0.945, 0.507, 0.729,0.594, 0.522
1.73, 1.533, 0.774,0.946, 0.501, 0.732,0.595, 0.515
1.74, 1.548, 0.777,0.947, 0.494, 0.736,0.595, 0.508
1.75, 1.562, 0.779,0.948, 0.488, 0.739,0.595, 0.501
1.76, 1.578, 0.782,0.95, 0.482, 0.743,0.595, 0.495
1.77, 1.593, 0.784,0.951, 0.476, 0.746,0.595, 0.488
1.78, 1.608, 0.787,0.952, 0.47, 0.749,0.595, 0.482
1.79, 1.624, 0.789,0.953, 0.464, 0.752,0.595, 0.475
1.8, 1.64, 0.791,0.954, 0.458, 0.755,0.595, 0.469
1.81, 1.656, 0.793,0.955, 0.453, 0.758,0.595, 0.463
1.82, 1.672, 0.795,0.956, 0.447, 0.76,0.595, 0.457
1.83, 1.689, 0.797,0.957, 0.442, 0.763,0.595, 0.451
1.84, 1.706, 0.799,0.958, 0.436, 0.766,0.595, 0.446
1.85, 1.723, 0.801,0.959, 0.431, 0.768,0.595, 0.44
1.86, 1.74, 0.803,0.96, 0.426, 0.771,0.595, 0.434
1.87, 1.757, 0.805,0.961, 0.42, 0.773,0.595, 0.429
1.88, 1.774, 0.807,0.962, 0.415, 0.776,0.595, 0.424
1.89, 1.792, 0.808,0.962, 0.41, 0.778,0.595, 0.418
1.9, 1.81, 0.81,0.963, 0.406, 0.78,0.595, 0.413
1.91, 1.828, 0.812,0.964, 0.401, 0.782,0.595, 0.408
1.92, 1.846, 0.813,0.965, 0.396, 0.785,0.595, 0.403
1.93, 1.865, 0.815,0.965, 0.391, 0.787,0.595, 0.398
1.94, 1.884, 0.816,0.966, 0.387, 0.789,0.595, 0.393
1.95, 1.902, 0.818,0.967, 0.382, 0.791,0.595, 0.389
1.96, 1.922, 0.819,0.968, 0.378, 0.793,0.595, 0.384
1.97, 1.941, 0.821,0.968, 0.373, 0.795,0.595, 0.379
1.98, 1.96, 0.822,0.969, 0.369, 0.796,0.595, 0.375
1.99, 1.98, 0.823,0.969, 0.365, 0.798,0.595, 0.37
2.0, 2.0, 0.825,0.97, 0.361, 0.8,0.595, 0.366
