[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Temperature [ K ]
1.65999877e+000, 1.85362366e+002
1.66999876e+000, 1.84353271e+002
1.67999876e+000, 1.83344711e+002
1.68999875e+000, 1.82335052e+002
1.69999874e+000, 1.81325958e+002
1.70999873e+000, 1.80372147e+002
1.71999872e+000, 1.79418335e+002
1.72999871e+000, 1.78464523e+002
1.73999870e+000, 1.77510727e+002
1.74999869e+000, 1.76556915e+002
1.75999868e+000, 1.75603119e+002
1.76999867e+000, 1.74649323e+002
1.77999866e+000, 1.73696060e+002
1.78999865e+000, 1.72741684e+002
1.79999864e+000, 1.71787888e+002
1.80999863e+000, 1.70851578e+002
1.81999862e+000, 1.69915268e+002
1.82999861e+000, 1.68978958e+002
1.83999860e+000, 1.68042648e+002
1.84999859e+000, 1.67106354e+002
1.85999858e+000, 1.66170044e+002
1.86999857e+000, 1.65233734e+002
1.87999856e+000, 1.64298126e+002
1.88999856e+000, 1.63361099e+002
1.89999855e+000, 1.62424805e+002
1.90999854e+000, 1.61656555e+002
1.91999853e+000, 1.60888321e+002
1.92999852e+000, 1.60120087e+002
1.93999851e+000, 1.59351837e+002
1.94999850e+000, 1.58583618e+002
1.95999849e+000, 1.57815384e+002
1.96999848e+000, 1.57047150e+002
1.97999847e+000, 1.56278931e+002
1.98999846e+000, 1.55510681e+002
1.99999845e+000, 1.54742447e+002


