[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Pressure [ Pa ]
1.65999877e+000, 5.62999492e+004
1.66999876e+000, 5.32937656e+004
1.67999876e+000, 5.02877969e+004
1.68999875e+000, 4.72813984e+004
1.69999874e+000, 4.42752617e+004
1.70999873e+000, 4.17707500e+004
1.71999872e+000, 3.92663516e+004
1.72999871e+000, 3.67619531e+004
1.73999870e+000, 3.42575547e+004
1.74999869e+000, 3.17531582e+004
1.75999868e+000, 2.92487578e+004
1.76999867e+000, 2.67443613e+004
1.77999866e+000, 2.42401797e+004
1.78999865e+000, 2.17355645e+004
1.79999864e+000, 1.92312012e+004
1.80999863e+000, 1.71457480e+004
1.81999862e+000, 1.50603867e+004
1.82999861e+000, 1.29750225e+004
1.83999860e+000, 1.08896602e+004
1.84999859e+000, 8.80429785e+003
1.85999858e+000, 6.71893506e+003
1.86999857e+000, 4.63357324e+003
1.87999856e+000, 2.54841284e+003
1.88999856e+000, 4.62847565e+002
1.89999855e+000, -1.62249146e+003
1.90999854e+000, -3.10378735e+003
1.91999853e+000, -4.58496240e+003
1.92999852e+000, -6.06614404e+003
1.93999851e+000, -7.54733301e+003
1.94999850e+000, -9.02851270e+003
1.95999849e+000, -1.05096904e+004
1.96999848e+000, -1.19908721e+004
1.97999847e+000, -1.34720566e+004
1.98999846e+000, -1.49532383e+004
1.99999845e+000, -1.64344219e+004


