[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Density [ kg m^-3 ]
1.65999877e+000, 2.95198107e+000
1.66999876e+000, 2.91206336e+000
1.67999876e+000, 2.87214184e+000
1.68999875e+000, 2.83222866e+000
1.69999874e+000, 2.79231191e+000
1.70999873e+000, 2.75713515e+000
1.71999872e+000, 2.72195959e+000
1.72999871e+000, 2.68678403e+000
1.73999870e+000, 2.65160847e+000
1.74999869e+000, 2.61643291e+000
1.75999868e+000, 2.58125734e+000
1.76999867e+000, 2.54608202e+000
1.77999866e+000, 2.51090288e+000
1.78999865e+000, 2.47573090e+000
1.79999864e+000, 2.44055581e+000
1.80999863e+000, 2.40993237e+000
1.81999862e+000, 2.37930989e+000
1.82999861e+000, 2.34868741e+000
1.83999860e+000, 2.31806493e+000
1.84999859e+000, 2.28744245e+000
1.85999858e+000, 2.25681996e+000
1.86999857e+000, 2.22619724e+000
1.87999856e+000, 2.19556999e+000
1.88999856e+000, 2.16495252e+000
1.89999855e+000, 2.13433027e+000
1.90999854e+000, 2.11945438e+000
1.91999853e+000, 2.10458136e+000
1.92999852e+000, 2.08970809e+000
1.93999851e+000, 2.07483459e+000
1.94999850e+000, 2.05996132e+000
1.95999849e+000, 2.04508805e+000
1.96999848e+000, 2.03021502e+000
1.97999847e+000, 2.01534152e+000
1.98999846e+000, 2.00046849e+000
1.99999845e+000, 1.98559523e+000


