[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
1.64999878e+000, 4.98936066e+002
1.65999877e+000, 5.00977417e+002
1.66999876e+000, 5.03018768e+002
1.67999876e+000, 5.05059021e+002
1.68999875e+000, 5.07101440e+002
1.69999874e+000, 5.09142822e+002
1.70999873e+000, 5.11004150e+002
1.71999872e+000, 5.12865417e+002
1.72999871e+000, 5.14726624e+002
1.73999870e+000, 5.16587891e+002
1.74999869e+000, 5.18449158e+002
1.75999868e+000, 5.20310425e+002
1.76999867e+000, 5.22171692e+002
1.77999866e+000, 5.24031799e+002
1.78999865e+000, 5.25894104e+002
1.79999864e+000, 5.27755310e+002
1.80999863e+000, 5.29503113e+002
1.81999862e+000, 5.31250793e+002
1.82999861e+000, 5.32998535e+002
1.83999860e+000, 5.34746277e+002
1.84999859e+000, 5.36493958e+002
1.85999858e+000, 5.38241760e+002
1.86999857e+000, 5.39989380e+002
1.87999856e+000, 5.41735474e+002
1.88999856e+000, 5.43484863e+002
1.89999855e+000, 5.45232605e+002
1.90999854e+000, 5.46646423e+002
1.91999853e+000, 5.48060364e+002
1.92999852e+000, 5.49474182e+002
1.93999851e+000, 5.50887939e+002
1.94999850e+000, 5.52301758e+002
1.95999849e+000, 5.53715637e+002
1.96999848e+000, 5.55129456e+002
1.97999847e+000, 5.56543335e+002
1.98999846e+000, 5.57957153e+002
1.99999845e+000, 5.59371155e+002


